root_id,x_nm,y_nm,z_nm
720575941501585899,507108,168940,18450
720575941565154823,295088,119708,213750
720575941503617259,302996,147672,95895
720575941460757203,292288,111712,115785
720575941552244223,283340,111888,191025
720575941508269918,323232,160516,212535
720575941441488831,349780,148924,221805
720575941576820584,290296,122524,186660
720575941593991464,658420,135392,108270
720575941582719097,631108,179116,123570
720575941478516545,321904,120412,209475
720575941503158155,351816,100072,159930
720575941652646105,442220,110276,109530
720575941569415162,386104,213684,124515
720575941509776912,375512,207600,69390
720575941507548741,354224,143264,131310
720575941599758121,403280,206876,34605
720575941612276326,434848,198464,112275
720575941430347735,334264,141024,79740
720575941498701435,392500,204132,74610
720575941467113238,432156,101060,122625
720575941618567637,377484,92432,114255
720575941593794667,456928,169192,130365
720575941479500512,319104,119864,153045
720575941525506470,401784,241888,79065
720575941496867451,448364,249584,98820
720575941440309439,374100,200428,121410
720575941511546578,387856,188992,74970
720575941415798417,438740,107124,114255
720575941593795179,421232,123288,105390
720575941514757964,341736,143804,125730
720575941448960437,329788,171052,158895
720575941535139672,393584,206796,89370
720575941510825488,430212,189864,16740
720575941590583863,468984,192124,146745
720575941520393651,424376,201492,89505
720575941550344481,453072,119672,134145
720575941559715876,469168,855492,215910
720575941534943937,414456,717312,163395
720575941392861700,466712,126616,140400
720575941612669404,383512,218256,148995
720575941690722523,610048,98984,78615
720575941569415418,467852,74788,91890
720575941450074805,595444,84756,77715
720575941690721688,385416,632020,213435
720575941610309478,430872,127996,155565
720575941511546896,453344,172996,120240
720575941734041643,521824,173140,145890
720575941591828876,335984,155520,99450
720575941623285450,397848,191068,30960
720575941407409582,348872,959228,277245
720575941513054929,513420,245780,99090
720575941513841105,320428,138896,86850
720575941684824815,572428,751240,256365
720575941570988276,604024,180716,113535
720575941689476827,447888,202056,67500
720575941541365277,399796,218576,102825
720575941460822739,640932,136192,98010
720575941536974602,637328,98020,125955
720575941554931227,641332,129612,200430
720575941540252109,507376,624512,91080
720575941538286322,657660,142396,191790
720575941432510935,681292,100276,102105
720575941493918128,400548,1003172,267525
720575941566466199,420980,88180,135675
720575941574854838,516748,190952,59850
720575941542611036,665740,109280,132795
720575941474388027,510956,243544,74430
720575941427922772,600424,69136,88830
720575941560633459,585600,71540,83790
720575941547133545,402016,125172,75915
720575941543200860,407612,128440,72765
720575941503616450,422680,78192,79560
720575941492606412,602084,69716,88785
720575941633771707,295640,105388,207990
720575941559584548,661740,92192,142605
720575941432903521,430048,124036,100080
720575941594056231,402964,108528,110565
720575941614634972,631116,149040,102735
720575941522622455,305368,100884,130410
720575941458200223,594532,79440,80415
720575941731747627,539408,191588,71280
720575941557094227,587928,78080,79830
720575941641635615,596668,90632,73215
720575941537630474,402628,226416,102465
720575941604869561,596192,93164,71325
720575941629119033,582012,153056,77850
720575941520001452,551704,178932,88515
720575941536188938,585248,62260,96750
720575941476682049,589044,67380,87435
720575941523277815,595908,68532,88200
720575941526751053,595768,67300,89010
720575941467506615,392488,128848,65700
720575941543855621,402908,138932,64035
720575941468162646,587516,69068,85950
720575941450925902,413280,75860,80685
720575941508859346,396636,116584,79830
720575941687773302,578528,89104,142650
720575941452039802,596124,71232,86400
720575941454727219,587660,65524,88380
720575941655791316,586028,66512,87345
720575941567776814,585428,67332,86670
720575941565417570,574560,57400,148500
720575941572560968,597256,85820,76635
720575941488019152,595372,76900,82350
720575941499160649,595512,71440,85500
720575941489526581,514528,102448,108135
