root_id,is_seed,cell_class,cell_type,nerve,region
720575941553882247,False,lateral_horn_output_neuron,LHPV5c1,,LH
720575941547132040,False,leg_motor_neuron,long_tendon_muscle,left_mesothoracic_leg_nerve,T2_MESONM
720575941431854217,False,single_leg_neuromere,IN12B024,,T1_PRONM
720575941592286348,False,transverse_neuron,T2,,ME
720575941487494285,False,,CB3305,,AVLP
720575941460427920,False,,PS087,,SPS
720575941415339153,False,antennal_lobe_projection_neuron,M_smPNm1,,AL
720575941540054165,False,,CB1920,,AVLP
720575941394433174,False,,LAL145,,LAL
720575941632722080,False,kenyon_cell,KCg,,MB_CA
720575941559125156,False,medulla_tangential,MTe01b,,ME
720575941525308582,False,leg_motor_neuron,tibia_extensor,right_metathoracic_leg_nerve,T3_METANM
720575941445878954,False,,CB1755,,LH
720575941411472555,False,descending_neuron,DNb09,,SPS
720575941536384178,True,olfactory_receptor_neuron,ORN_VA1d,right_antennal_nerve,NO_CONS
720575941449876661,False,kenyon_cell,KCab,,MB_CA
720575941518427319,False,,IN06A059,,INTTCT
720575941603427513,False,kenyon_cell,KCab,,MB_CA
720575941481071802,False,leg_motor_neuron,tarsus_levator,right_mesothoracic_leg_nerve,T2_MESONM
720575941597988032,False,antennal_lobe_projection_neuron,M_l2PNl23,,AL
720575941534876865,False,kenyon_cell,KCab,,MB_CA
720575941505451202,True,olfactory_receptor_neuron,ORN_DL5,right_antennal_nerve,AL
720575941479171267,False,,IN11A020,,AMNP
720575941528782027,False,single_leg_neuromere,IN20A.22A006,,T2_MESONM
720575941491033292,False,kenyon_cell,KCg-m,,MB_CA
720575941514626257,False,,WED002a,,EPA
720575941511808210,True,olfactory_receptor_neuron,ORN_VA2,left_antennal_nerve,AL
720575941511480529,False,single_leg_neuromere,IN13B056,,T2_MESONM
720575941618500821,False,single_leg_neuromere,IN08A002,,T1_PRONM
720575941592155350,False,single_leg_neuromere,INXXX468,,T2_MESONM
720575941500273889,False,antennal_lobe_projection_neuron,Z_vPNml1,,GNG
720575941557552356,False,descending_neuron,DNg98,,GNG
